track_name,track_artist,track_popularity,playlist_genre,track_year
Can We Pretend (feat. Cash Cash) - Sigala Remix,P!nk,57,pop,2019
Bruises - Steve Void Remix,Lewis Capaldi,70,pop,2019
Insomnia - King Arthur Remix,Daya,63,pop,2019
Don't Worry Bout Me - Rudimental Remix,Zara Larsson,65,pop,2019
I Miss Myself - R3HAB Remix,NOTD,56,pop,2019
8 Letters - R3HAB Remix,Why Don't We,2,pop,2018
You Deserve Better - Andrelli Remix,James Arthur,53,pop,2018
Remember (with ZOHARA),Gryffin,11,pop,2018
REMEDY,Alesso,77,pop,2018
Leave,Borgeous,56,pop,2019
Mama (feat. Ellie Goulding) - Tiestos Big Room Remix,Clean Bandit,65,pop,2019
I'm Not Sorry,Hardwell,34,pop,2019
Tequila - Robin Schulz Remix,Dan + Shay,54,pop,2019
Happier - Frank Walker Remix,Marshmello,51,pop,2018
Sing It With Me - Embody Remix,JP Cooper,50,pop,2019
Thursday - Nicky Romero Remix,Jess Glynne,52,pop,2018
Better When You're Gone,David Guetta,76,pop,2019
Wish You Well,Sigala,75,pop,2019
Only When It Rains,Frank Walker,52,pop,2019
Mad Love - Blinkie Remix,Mabel,62,pop,2019
Sweet but Psycho - Morgan Page Dance Remix,Ava Max,65,pop,2018
Better Day (feat. Aloe Blacc),Young Bombs,62,pop,2019
Rescue Me (with BUNT.) - BUNT. Remix,OneRepublic,10,pop,2019
Discovery,Syn Cole,55,pop,2019
With You - Frank Walker Remix,Tyler Shaw,49,pop,2019
2 Hearts (feat. Gia Koka),Sam Feldt,70,pop,2020
Love You Forever,Nicky Romero,61,pop,2019
Thorns,Faustix,60,pop,2019
Shotgun (The Wild Remix),George Ezra,63,pop,2018
True Colors (feat. Maya Avedis),XO Cupid,73,pop,2018
Crying In The Sun,Faustix,60,pop,2018
Need You,Faustix,62,pop,2019
Sweet Dreams (Are Made of This),Winati,67,pop,2019
Million Lights,Tungevaag & Raaban,61,pop,2019
Dancing in the Moonlight,Jubel,71,pop,2018
Heaven,Avicii,80,pop,2019
Forever Young,John De Sohn,68,pop,2018
eoh,Olympis,60,pop,2019
Nobody,Martin Jensen,66,pop,2019
All Day And Night,Jax Jones,75,pop,2019
There's No Way (feat. Julia Michaels) - Alle Farben Remix,Lauv,58,pop,2018
Whenever (feat. Conor Maynard),Kris Kross Amsterdam,74,pop,2018
All For Love,Tungevaag & Raaban,68,pop,2018
Bittersweet Symphony (feat. Emily Roberts),GAMPER & DADONI,72,pop,2019
One Touch,Jess Glynne,70,pop,2018
"fuck, im lonely (with Anne-Marie) - Ofenbach Remix",Lauv,Dance Pop Hits,"fuc
Be Your Friend,Vigiland,67,pop,2018
Happier - Breathe Carolina Remix,Marshmello,62,pop,2018
Just Got Paid,Sigala,65,pop,2018
No One - Jonas Blue Remix,Jess Glynne,51,pop,2019
Speechless (feat. Erika Sirola) - MOTi Remix,Robin Schulz,54,pop,2019
Darkside,Alan Walker,76,pop,2018
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,83,pop,2019
Body (feat. brando),Loud Luxury,63,pop,2017
Who's Got Your Love,Cheat Codes,70,pop,2019
Never Go Back - Robin Schulz Remix,Dennis Lloyd,70,pop,2019
Pumped Up,Klingande,56,pop,2017
California,Hot Shade,65,pop,2018
Solo Dance,Martin Jensen,61,pop,2016
Replay,Davai,60,pop,2017
Think About You - Galantis Remix,Kygo,63,pop,2019
Love No More,Loud Luxury,54,pop,2018
All Falls Down (feat. Juliander),Alan Walker,70,pop,2018
Lonely Together (feat. Rita Ora),Avicii,6,pop,2018
Remind Me to Forget,Kygo,70,pop,2017
Next To Me,Axel Johansson,54,pop,2018
Giant (with Rag'n'Bone Man),Calvin Harris,83,pop,2019
Happier - Tiestos AFTR:HRS Remix,Ed Sheeran,53,pop,2018
Hum With Me,John De Sohn,55,pop,2017
Without You (feat. Sandro Cavazza),Avicii,81,pop,2017
Call On Me - Ryan Riback Remix,Starley,58,pop,2016
Sad (feat. Afrojack),Chico Rose,75,pop,2019
Stargazing,Kygo,73,pop,2017
Symphony (feat. Zara Larsson),Clean Bandit,73,pop,2018
Stay Young,Mike Perry,57,pop,2017
More Than You Know,Axwell /\ Ingrosso,25,pop,2017
Why Boy,Steff da Campo,55,pop,2019
The Nights,Avicii,80,pop,2014
Rich Love (with Seeb),OneRepublic,69,pop,2017
Mama,Jonas Blue,74,pop,2018
Feel Good,Felix Jaehn,65,pop,2018
IDGAF - Hazers Remix,Dua Lipa,50,pop,2018
Breathe (feat. Ina Wroldsen),Jax Jones,66,pop,2019
Rockstar,Ilkay Sencan,71,pop,2019
Jackie Chan,Tiesto,79,pop,2018
Moonlight,Gaullin,76,pop,2018
All I Wanna Do,Martin Jensen,55,pop,2016
Sweet but Psycho,Ava Max,87,pop,2018
Melody - ANGEMI Remix,Lost Frequencies,35,37i9dQZF1DX3PIAZMcbo2T, Pt.
High On Life (feat. Bonn),Martin Garrix,77,pop,2018
So Am I,Ava Max,83,pop,2019
I Know You - Vigiland Remix,Craig David,51,pop,2018
Through To You,Lyente,2,pop,2018
Burn Out (feat. Dewain Whitmore),Martin Garrix,68,pop,2018
Penny,Dimitri Vangelis & Wyman,50,pop,2019
Wait For Me,Steve Brian,42,pop,2018
bad guy,Billie Eilish,95,37i9dQZF1DX3PIAZMcbo2T, WHE
Daylight (Airbeat One Anthem 2018),Fluex,50,pop,2018
Imagine,Rob Tirea,21,pop,2018
Apple Juice (feat. Carla Monroe) - MOTi Remix,SLATIN,63,pop,2018
Glitch,Martin Garrix,56,pop,2018
Brand New (Helium),Lvly,2,pop,2018
Shades Of Voices (Original Mix),PULLER,2,pop,2017
In Time,CAZZETTE,49,pop,2018
Halfway There (feat. Lena Leon),Tiesto,60,pop,2019
Spirit Of Freedom,Dropgun,45,pop,2019
Mama Look at Me Now,Galantis,56,pop,2018
Toxic Rain - No Class Remix,Alicia Madison,41,pop,2018
The Beat,Mike Williams,70,pop,2018
Wild Wild Son,Armin van Buuren,57,pop,2018
Waiting For Love,Avicii,16,pop,2015
Shelter (Mix Cut) - Yoel Lewis Remix,Dash Berlin,48,pop,2018
Like I Do,David Guetta,72,pop,2018
Skyline,Catiso,2,pop,2018
Callin' - Extended Mix,Lush & Simon,2,pop,2018
Roads,Vargas & Lagola,66,pop,2018
Came Here for Love,Sigala,68,pop,2017
Kids in Love - Don Diablo Remix,Kygo,50,pop,2018
Let You Down - Chris Royal Remix,Bombs Away,39,pop,2018
Mercury,Catiso,1,pop,2018
Different Place,STVCKS,4,pop,2018
One Last Time,Ariana Grande,16,pop,2014
I Feel The Love,Tritonal,58,pop,2016
No Brainer,DJ Khaled,77,pop,2018
Sun Is Shining,Axwell /\ Ingrosso,71,pop,2017
Breathe,Jax Jones,65,pop,2017
In the Name of Love,Martin Garrix,80,pop,2016
Pure Gold,oomiee,1,pop,2017
Turning Up,ARASHI,67,pop,2019
Winter Hitori feat. ASOBOiSM,Shinn Yamada,28,pop,2019
943 (Run Away) - Japanese Ver.,TOMORROW X TOGETHER,48,pop,2020
Nobody Knows,Hiroomi Tosaka,39,pop,2020
One in a Million --,GENERATIONS from EXILE TRIBE,60,pop,2019
,E-girls,29,pop,2020
Gimme GImme,iamSHUM,21,pop,2019
,DAOKO,40,pop,2020
 No. 5,CHANMINA,37,pop,2020
Now & Forever (feat. SONPUB & ),,38,pop,2020
Make A Move - Pt. 2,EMMA WAHLIN,17,pop,2020
,Ghost like girlfriend,30,pop,2020
ZONE OF GOLD,Ryuji Imaichi,31,pop,2020
LOVE + PARTY,CREAM,37,pop,2019
WAKE ME UP,THE RAMPAGE from EXILE TRIBE,35,pop,2020
New Page,INTERSECTION,49,pop,2020
Easy Breezy,chelmico,42,pop,2020
TOTSUKA feat. ,ASOBOiSM,23,pop,2020
taste,FlowBack,34,pop,2019
I dont wanna do,SARM,27,pop,2020
A-RA-SHI:Reborn,ARASHI,60,pop,2019
Light,SIRUP,53,pop,2019
Night Ship,Yo-Sea,30,pop,2020
Fly me 2,eill,41,pop,2019
Not Enough,Rei Yasuda,29,pop,2019
COLORLESS,Daichi Miura,54,pop,2019
New Shoes - feat.Shun Murakami,phai,21,pop,2020
MarudeSaturday Night,BABY-T,21,pop,2019
FUTARI x PARTY,CREAM,40,pop,2019
SUPERSTAR,,26,pop,2020
Be on the Stage,KEITA,26,pop,2019
space shuttle,,36,pop,2019
Amazing!,Sakurako Ohara,32,pop,2020
TO-KE-TE,HAN-KUN,34,pop,2019
JAM fo'freedom (SASUKE Remix),RUN THE FLOOR,21,pop,2020
You're the Reason - English ver.,INTERSECTION,36,pop,2019
Made In JPN,DEAN FUJIOKA,36,pop,2019
See You Later,Chocoholic,42,pop,2019
Possible,,49,pop,2020
All Over You,Boys Get Hurt,12,pop,2019
Where Would You Go?,SkyLogic,16,pop,2019
Call My Name - Remix,YUTO,27,pop,2019
DAYZ,AAAMYYY,44,pop,2019
Simple Things,HarukiD,21,pop,2020
SUN DAY - Shinichi Osawa Remix,HIRAIDAI,41,pop,2019
SPOTLIGHT,eill,44,pop,2019
let me know,blanchehor,39,pop,2019
Y.E.S,KEITA,21,pop,2019
Rich&Famous - feat. Sean Paul,Kumi Koda,35,pop,2019
 - Car TAX remix,yu-re:meu,16,pop,2020
EASY LOVE,Gear 2nd,27,pop,2019
PARADE,Miliyah,37,pop,2019
Obsession,,30,pop,2019
Shine,DJ PIGER,35,pop,2019
Upside Down,RYPPHYPE,26,pop,2019
B.S.G.S.,sooogood!,30,pop,2019
Bitten By You,Monkey Majik,40,pop,2019
For Me,WAPLAN,31,pop,2019
Sway,AATA,27,pop,2019
Nobody,Beverly,31,pop,2019
Adios,EVERGLOW,74,pop,2019
Dumb,BVNDIT,59,pop,2019
THURSDAY,GOT7,63,pop,2019
Snapping,CHUNG HA,73,pop,2019
WONDERLAND,ATEEZ,72,pop,2019
DDU-DU DDU-DU,BLACKPINK,68,pop,2018
Like always,X1,58,pop,2019
Answer,ATEEZ,72,pop,2020
 Peek-A-Boo,Red Velvet,70,pop,2017
DRIP,HINAPIA,59,pop,2019
Jopping,SuperM,75,pop,2019
HIP,Mamamoo,81,pop,2019
BBoom BBoom,MOMOLAND,70,pop,2018
Dumb Litty,KARD,65,pop,2019
POP/STARS,K/DA,75,pop,2018
MIDDLE OF THE NIGHT,Monsta X,69,pop,2019
Boy With Luv (feat. Halsey),BTS,85,pop,2019
Bon Bon Chocolat,EVERGLOW,72,pop,2019
gogobebe,Mamamoo,72,pop,2019
IDOL,BTS,75,pop,2018
MIC Drop (feat. Desiigner) [Steve Aoki Remix],BTS,65,pop,2017
KILLING ME,iKON,63,pop,2018
As If It's Your Last,BLACKPINK,2,pop,2017
MIROH,Stray Kids,71,pop,2019
Forever Love,YOUNGJAE,48,37i9dQZF1DX4RDXswvP6Mj,on"
BOSS,NCT,68,pop,2018
Forever Young,BLACKPINK,65,pop,2018
Egotistic,Mamamoo,70,pop,2018
Bomb Bomb,KARD,66,pop,2019
DNA,BTS,71,pop,2017
Roller Coaster,CHUNG HA,2,pop,2018
YES or YES,TWICE,7,pop,2018
FLASH,X1,69,pop,2019
HANN (Alone),(G)I-DLE,66,pop,2018
 Hard Carry,GOT7,1,pop,2016
ME,CLC,64,pop,2019
BAAM,MOMOLAND,66,pop,2018
DDD,EXID,60,pop,2017
Starry Night,Mamamoo,67,pop,2018
Siren,SUNMI,0,pop,2018
HIT,SEVENTEEN,66,pop,2019
Heroine,SUNMI,62,pop,2018
Way Back Home,SHAUN,66,pop,2018
Im So Hot,MOMOLAND,61,pop,2019
Me & You,EXID,61,pop,2019
No,CLC,61,pop,2019
PICK ME,PRODUCE 48,58,pop,2018
WANT,TAEMIN,63,pop,2019
Fever,GFRIEND,67,pop,2019
Room Shaker,Ailee,57,pop,2019
Power Up,Red Velvet,65,pop,2018
LALALAY ,SUNMI,70,pop,2019
8282(Party),twlv,40,pop,2019
D.D.D,THE BOYZ,55,pop,2019
Not That Type,gugudan,54,pop,2018
Humph!,PENTAGON,63,pop,2019
Play It Cool,Monsta X,56,pop,2019
AH YEAH,WINNER,60,pop,2019
SHA LA LA,PENTAGON,56,pop,2019
SUNDAY,FANATICS,42,pop,2019
BEEP BEEP,RUANN,45,pop,2019
The Only (feat. IRENE of Red Velvet),Raiden,54,pop,2019
